Name,Pollution,Wildlife,Safety,Population
San Clemente Pier,19485900,124,0.001,3176000
Clam Beach County Park,24570000,48,12.532,135558
Linda Mar (or Pacifica State) Beach,5575500,11,0.301,1649878
Long Beach City Beach at Coronado Ave.,97798050,8,0,10040000
Cowell Beach,18342450,66,0.519,273213
Monarch Beach,6898500,124,12.5,3176000
Marina (or Motherâ€™s) Beach,34020000,8,0,10040000
"Cabrillo Beach, harborside",4951800,8,0.5,10040000
Keller Beach,60026400,142,2.056,1154000
Aquatic Park,7852950,11,0.012,1649878